class,accuracy
Apple___Apple_scab,1.0
Grape___Esca_(Black_Measles),1.0
Tomato___healthy,1.0
Potato___healthy,1.0
Orange___Haunglongbing_(Citrus_greening),1.0
Mango___Sooty_Mould,1.0
Mango___Powdery_Mildew,1.0
Mango___Healthy,1.0
Mango___Gall_Midge,1.0
Apple___Black_rot,1.0
Mango___Cutting_Weevil,1.0
Mango___Bacterial_Canker,1.0
Mango___Anthracnose,1.0
Grape___healthy,1.0
Mango___Die_Back,1.0
Corn_(maize)___Common_rust_,1.0
Apple___healthy,1.0
Banana___Cordana,1.0
Cotton___fresh_plant,1.0
Banana___Panama,1.0
Potato___Early_blight,0.9933333333333333
Rice___Healthy,0.9897959183673469
Grape___Black_rot,0.9887005649717514
Corn_(maize)___healthy,0.9885057471264368
Tomato___Late_blight,0.9825174825174825
Cotton___diseased_leaf,0.9767441860465116
Banana___Yellow_and_Black_Sigatoka,0.976
Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,0.974025974025974
Rice___Brown_Spot,0.9690721649484536
Rice___Sheath_Blight,0.968421052631579
Rice___Leaf_scald,0.9680851063829787
Banana___Healthy,0.9666666666666667
Cotton___diseased_plant,0.9590163934426229
Potato___Late_blight,0.94
Cotton___fresh_leaf,0.9375
Tomato___Early_blight,0.92
coffee___healthy,0.907563025210084
Corn_(maize)___Northern_Leaf_Blight,0.8851351351351351
Rice___Bacterial_Leaf_Blight,0.8842105263157894
coffee___rust,0.8777777777777778
Rice___Leaf_Blast,0.8631578947368421
coffee___red_spider_mite,0.28
